gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj
Usp18;9.97599591276394E-05;-0.209639546628856;0.064;0.081;1
Ms4a4c;2.73465315797696E-12;-0.208746888909345;0.033;0.061;8.8288277205286E-08
Tbrg1;0.000475427608995;-0.208695381602783;0.174;0.193;1
Fam241a;1.56373747215946E-17;-0.207343213918467;0.024;0.055;5.0485264288668E-13
Csde1;0.000791257107084;-0.207224656438411;0.159;0.177;1
Golm1;3.48035963926304E-06;-0.206270428254866;0.046;0.064;0.112363410953607
Pdcd10;0.000659666553286;-0.205854319393758;0.302;0.316;1
Rap2b;2.49966894160017E-08;-0.205270046880494;0.05;0.074;0.000807018117796
H2-Q7;3.61022896674512E-19;-0.205071161133765;0.841;0.834;1.16556242191366E-14
Cd9;0.000998228750276;-0.203827577951829;0.089;0.104;1
Rab1b;0.00014898631705;-0.203487786787857;0.13;0.151;1
B3gnt2;0.000785062026598;-0.203406665079775;0.108;0.125;1
Tbx21;6.9183109497609E-07;-0.2034055260329;0.08;0.105;0.022335766901303
mt-Co1;4.82289902064724E-70;-0.202952410370236;0.998;0.997;1.55707294881596E-65
Add3;1.39890637258253E-05;-0.202662398042946;0.166;0.192;0.45163692238827
Pdcd4;0.034337524200179;-0.201865153750853;0.211;0.217;1
Sytl1;5.53148065659764E-05;-0.201676073892646;0.08;0.1;1
D930028M14Rik;3.95545598279163E-13;-0.200842888858257;0.026;0.051;1.27701896404428E-08
Syt11;1.62018484032081E-10;-0.200517884149064;0.038;0.063;5.23076675697574E-06
Arhgef18;2.93687772077986E-05;-0.200106146551698;0.077;0.097;0.948170972153776
Tuba1a;0.002593347121694;-0.199509816366335;0.174;0.189;1
Slc36a3os;6.86751940391589E-09;-0.199060956936951;0.05;0.076;0.000221717863955
Tpst2;0.004966273916931;-0.198559562444302;0.204;0.217;1
Sh3kbp1;0.002020931624693;-0.197875170577212;0.207;0.223;1
Pstpip1;0.064530915164566;-0.197110824626531;0.18;0.186;1
Tor1aip1;0.000410473038601;-0.196806560311112;0.129;0.148;1
Crlf3;0.000376103967646;-0.196689439777268;0.107;0.125;1
Gm42418;1.29196823976891E-55;-0.196377631492773;0.998;0.998;4.17111946209394E-51
Cdc42se1;0.00228242400056;-0.19618901509558;0.226;0.241;1
Nup210;0.001550680275009;-0.195282275091649;0.1;0.116;1
Cr1l;0.000471898951872;-0.195149171771628;0.147;0.166;1
Fau;4.96998170042714E-93;-0.195021047570365;1;0.999;1.6045585919829E-88
Stap1;1.51004682469193E-07;-0.194946616539149;0.06;0.085;0.004875186173518
Traf1;0.001409343998999;-0.194805537042406;0.099;0.114;1
Actr3;9.39502020224447E-08;-0.194481806870252;0.631;0.61;0.003033182272295
Itgb2;0.006174414006013;-0.194126437876095;0.302;0.308;1
Tmem59;0.052182949293206;-0.193853599340775;0.215;0.218;1
Nptn;0.000703002307145;-0.19352280259934;0.145;0.164;1
Ankrd44;0.012183589046457;-0.193392185818259;0.153;0.165;1
Gbp6;1.05204072667791E-09;-0.19331552679482;0.035;0.059;3.39651348607962E-05
Cst7;0.011415582640478;-0.193022332613408;0.231;0.241;1
Trappc1;1.40533362061505E-06;-0.192480278691685;0.091;0.116;0.045371195941557
Mcl1;0.048311130378991;-0.192050427886298;0.276;0.278;1
Gtf2i;0.027540981804786;-0.191511230141529;0.133;0.143;1
Ripor2;0.005194413813923;-0.191307020148302;0.227;0.238;1
Arpc5l;0.005574609528325;-0.191158285957442;0.319;0.324;1
Gramd1a;3.11097360284954E-08;-0.190628006449839;0.044;0.067;0.00100437782768
Ncf4;4.73695609554837E-05;-0.190509896988983;0.105;0.126;1
Ufc1;0.006997408551765;-0.190307286437717;0.293;0.301;1
Rnasek;0.051998605195561;-0.189670986139643;0.398;0.385;1
Myl12a;3.20702038021039E-06;-0.189669536024611;0.603;0.586;0.103538652975092
Cdkn1b;0.000114057818974;-0.188814527008766;0.079;0.097;1
Tmbim6;0.096222084096742;-0.188745782686314;0.379;0.368;1
Ddit4;0.000380299892589;-0.188647607433324;0.095;0.113;1
Jun;0.003716668986717;-0.18824648000165;0.099;0.113;1
Tln1;0.003477438984997;-0.187623524186778;0.384;0.386;1
Ttc39c;2.42167224590294E-13;-0.18665341797907;0.023;0.048;7.81836884589764E-09
Gpr183;6.40101430513847E-08;-0.185495270185924;0.06;0.085;0.002066567468414
Eno1;0.028073246608066;-0.185203335182559;0.246;0.252;1
Crot;0.002642227847273;-0.18472947789945;0.111;0.126;1
Sidt1;5.43512040704794E-09;-0.184308322490414;0.029;0.05;0.000175472862342
Tut4;0.013796015518136;-0.183497398175774;0.113;0.125;1
Klra3;1.52400553460247E-11;-0.182501043123061;0.01;0.027;4.92025186846408E-07
Gimap4;7.3332367634108E-10;-0.182247018500895;0.77;0.746;2.36753548906718E-05
Samd9l;2.07555143046507E-05;-0.182199306013319;0.077;0.098;0.670091779325649
Serp2;3.79583977018951E-09;-0.180152887857421;0.038;0.062;0.000122548686981
Scp2;0.008139963423733;-0.179938225354878;0.277;0.287;1
Sytl2;2.15599167814754E-08;-0.178710268645094;0.04;0.063;0.00069606191329
Fam78a;8.35870398771346E-06;-0.17862415604604;0.059;0.079;0.269860758243329
