p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
9.9945309749981E-130;0.640625904092842;0.12;0.018;3.22673432527814E-125;TexProg;Cldn10
2.38546993897795E-125;0.325934611742586;0.997;0.99;7.70148969799032E-121;TexProg;Rpl8
8.11218749504098E-125;0.692563084631196;0.661;0.355;2.61901973277398E-120;TexProg;Ltb
1.12797745710646E-122;0.283404976770399;0.999;0.997;3.64167522026819E-118;TexProg;Rps14
5.24345350830784E-121;0.310505389253458;0.998;0.995;1.69284896515719E-116;TexProg;Rpl11
1.24031744783192E-119;0.313122115658003;1;0.993;4.00436488032535E-115;TexProg;Rps3a1
5.85580700558001E-118;0.487162476198259;0.947;0.83;1.8905472917515E-113;TexProg;Rpl36a
1.04015430771561E-117;0.789011933928861;0.378;0.152;3.35813818245984E-113;TexProg;Tox
1.84566829972066E-117;0.29498936457221;0.999;0.996;5.95874010564816E-113;TexProg;Rpl41
5.41563013966637E-117;0.313445305135308;0.998;0.992;1.74843619059129E-112;TexProg;Rpl39
6.11385605670554E-116;0.554769020864716;0.174;0.04;1.97385842790738E-111;TexProg;Inpp4b
6.19728540192131E-115;0.283688369378396;0.999;0.997;2.0007935920103E-110;TexProg;Rps8
1.10240459923909E-113;0.55080247725758;0.163;0.036;3.55911324864342E-109;TexProg;Ifnar2
6.62692613777294E-112;0.278244461053455;1;0.997;2.13950310357999E-107;TexProg;Rps13
2.29369801611023E-111;0.297604555551898;0.999;0.997;7.40520404501188E-107;TexProg;mt-Atp6
1.66071417765582E-109;0.566155266572443;0.182;0.046;5.36161572256181E-105;TexProg;Asap1
1.79692855406979E-107;0.32849913546503;0.998;0.996;5.80138383681432E-103;TexProg;mt-Co1
4.47272810214087E-107;0.317509137077278;0.999;0.981;1.44402026777618E-102;TexProg;Rpl9
3.97181946198321E-106;0.289447891345621;0.999;0.991;1.28230191330128E-101;TexProg;Rps3
5.62610278359523E-106;0.296397411671286;0.998;0.995;1.81638728368372E-101;TexProg;Eef1a1
1.65792654203183E-102;0.276262834681043;0.999;0.993;5.35261584094978E-98;TexProg;Rps5
1.68360082601979E-101;0.264554691744449;0.999;0.999;5.43550526680488E-97;TexProg;Rps15a
1.5209255961672E-100;0.639482949359168;0.233;0.074;4.91030828722581E-96;TexProg;Zfp36l1
8.42558723530131E-98;0.301306679316476;0.998;0.987;2.72020083891703E-93;TexProg;Rps4x
1.30561765002848E-96;0.310524120152641;0.996;0.985;4.21518658311694E-92;TexProg;Rpl21
1.67847447278965E-96;0.29184701759659;0.999;0.986;5.41895483540137E-92;TexProg;Rps9
1.78611979971333E-96;0.521713058489475;0.142;0.033;5.76648777337449E-92;TexProg;1810041H14Rik
3.46453226129196E-96;0.645964069024435;0.186;0.053;1.11852424055811E-91;TexProg;Ms4a4c
5.85123754129976E-93;0.257878534915817;0.999;0.995;1.88907204020863E-88;TexProg;Rpl37a
1.67537781818885E-92;0.587975907549111;0.14;0.032;5.40895728602271E-88;TexProg;Sell
4.5283221094064E-89;0.473337898843387;0.109;0.021;1.46196879302186E-84;TexProg;H2-Oa
1.55393093974965E-86;0.285461938985807;0.996;0.984;5.01686603898174E-82;TexProg;Rpl6
4.30176746472654E-86;0.611176502280772;0.191;0.061;1.38882562598696E-81;TexProg;Adk
1.12397575521478E-85;0.636921855123968;0.3;0.123;3.62875572571092E-81;TexProg;Pou2f2
9.16589455952257E-83;0.362548743186503;0.206;0.065;2.95920905854186E-78;TexProg;Dapl1
2.63041456882644E-82;0.308373663899424;0.992;0.971;8.49229343545615E-78;TexProg;Rack1
4.90813646835279E-81;0.668653325419747;0.409;0.204;1.5845918588077E-76;TexProg;Itgb1
6.48577612102581E-79;0.598821966588602;0.294;0.126;2.09393282067318E-74;TexProg;1110038B12Rik
1.60411362817411E-76;0.730721724678149;0.422;0.228;5.17888084856011E-72;TexProg;Batf
3.25009956620186E-76;0.260092044588462;0.996;0.989;1.04929464494827E-71;TexProg;Rpl26
4.13324175336268E-76;0.254234045880671;0.999;0.994;1.33441710007314E-71;TexProg;Rpl37
1.2394648319549E-74;0.253123889157622;0.999;0.996;4.00161220996641E-70;TexProg;mt-Co3
6.57353999156446E-74;0.544677376271805;0.213;0.076;2.12226738627659E-69;TexProg;Il7r
2.63574526330098E-72;0.296503724019397;0.99;0.954;8.50950358256722E-68;TexProg;Rpl7
4.40394898974673E-71;0.527219038297442;0.235;0.093;1.42181493133973E-66;TexProg;Bzw2
9.24020057522805E-70;0.378294659152327;0.938;0.849;2.98319875571238E-65;TexProg;Rpl4
1.44822616116058E-67;0.519254121294711;0.423;0.22;4.67559816130694E-63;TexProg;Pdcd4
2.61417237369759E-67;0.292184115364758;0.984;0.937;8.43985550848268E-63;TexProg;Rps15
4.06250020872912E-67;0.553286917254085;0.196;0.072;1.3115781923882E-62;TexProg;Dleu2
4.2982962972908E-66;0.506883740120717;0.251;0.105;1.38770495958034E-61;TexProg;Traf1
4.85624199034117E-64;0.59116259702467;0.198;0.075;1.56783772658165E-59;TexProg;Gpr183
1.29866727732524E-63;0.293697322860381;0.988;0.974;4.19274730484454E-59;TexProg;Rps2
3.76517209532648E-62;0.565455010546595;0.392;0.211;1.21558581097615E-57;TexProg;Zfas1
1.15612382747005E-61;0.386275535803916;0.12;0.034;3.73254577698706E-57;TexProg;Pacsin1
2.05993993487926E-60;0.278051668423473;0.989;0.952;6.65051607975768E-56;TexProg;Rps6
4.34995620663033E-60;0.303169387130204;0.991;0.961;1.4043833613106E-55;TexProg;Tmsb10
5.53438699978799E-60;0.439157380698424;0.844;0.694;1.78677684288155E-55;TexProg;Npm1
9.09235584313384E-60;0.399181707743463;0.935;0.847;2.93546708395576E-55;TexProg;Hsp90ab1
2.67333281445574E-57;0.604906099264091;0.466;0.278;8.63085499147036E-53;TexProg;Junb
3.04397392867226E-57;0.514085250720991;0.402;0.219;9.82746982871841E-53;TexProg;Bcl2
1.30466776313319E-56;0.413345363681387;0.207;0.083;4.2121198732755E-52;TexProg;Evl
7.80978814068615E-56;0.325547400244906;0.961;0.776;2.52139010122052E-51;TexProg;Ifi27l2a
1.02610729364995E-55;0.549344947864916;0.698;0.519;3.31278739754888E-51;TexProg;Gm8369
6.09338461916882E-53;0.454000996961902;0.268;0.128;1.96724922429866E-48;TexProg;Lamp1
